,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
18,11.0,Turkey,17232066,,102174.0,,,,,,201399.0,1194.0,162743369.0,1902052.0,85561976.0,Asia,5.0,837.0,1.0,,,4024
19,12.0,Spain,13914811,,121760.0,,13762417.0,,30634.0,231.0,297840.0,2606.0,471036328.0,10082298.0,46719142.0,Europe,3.0,384.0,0.0,,,656
20,13.0,Australia,11853144,,24414.0,,11820014.0,,8716.0,3.0,454687.0,937.0,81916639.0,3142326.0,26068792.0,Australia/Oceania,2.0,1068.0,0.0,,,334
21,14.0,Vietnam,11625195,,43206.0,,10640971.0,,941018.0,,117481.0,437.0,85826548.0,867342.0,98953541.0,Asia,9.0,2290.0,1.0,,,9510
22,15.0,Taiwan,10241523,,19005.0,,10222518.0,,0.0,,428720.0,796.0,30742304.0,1286903.0,23888595.0,Asia,2.0,1257.0,1.0,,,
23,16.0,Argentina,10128845,,130841.0,,9997258.0,,746.0,,220143.0,2844.0,35716069.0,776264.0,46010234.0,South America,5.0,352.0,1.0,,,16
24,17.0,Netherlands,8635786,,22992.0,,8612599.0,,195.0,,501747.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,11
25,18.0,Mexico,7702809,,334958.0,,6899865.0,,467986.0,,58549.0,2546.0,20013810.0,152124.0,131562772.0,North America,17.0,393.0,7.0,,,3557
26,19.0,Iran,7627186,,146811.0,,,,,,88665.0,1707.0,57320267.0,666338.0,86022837.0,Asia,11.0,586.0,2.0,,,1199
27,20.0,Indonesia,6829221,,162063.0,,6647104.0,,20054.0,,24466.0,581.0,114158919.0,408975.0,279134505.0,Asia,41.0,1722.0,2.0,,,72
28,21.0,Poland,6661991,,120598.0,,,,,,176524.0,3196.0,39323709.0,1041970.0,37739785.0,Europe,6.0,313.0,1.0,,,31941
29,22.0,Colombia,6400173,,143200.0,,6212152.0,,44821.0,342.0,124244.0,2780.0,36951507.0,717327.0,51512762.0,South America,8.0,360.0,1.0,,,870
30,23.0,Greece,6101379,,37869.0,,,,,,591412.0,3671.0,102228365.0,9909078.0,10316637.0,Europe,2.0,272.0,0.0,,,
31,24.0,Austria,6081287,,22542.0,,6054934.0,,3811.0,,670727.0,2486.0,211273524.0,23302116.0,9066710.0,Europe,1.0,402.0,0.0,,,420
32,25.0,Portugal,5643062,,28126.0,,5614809.0,,127.0,61.0,556484.0,2774.0,46139518.0,4549993.0,10140570.0,Europe,2.0,361.0,0.0,,,13
33,26.0,Ukraine,5557995,,112418.0,,5445577.0,,0.0,,128681.0,2603.0,32603805.0,754855.0,43192122.0,Europe,8.0,384.0,1.0,,,
34,27.0,Chile,5384853,,64497.0,,5252450.0,,67906.0,7.0,279730.0,3350.0,50382097.0,2617225.0,19250195.0,South America,4.0,298.0,0.0,,,3528
35,28.0,Malaysia,5278406,,37348.0,,5233268.0,,7790.0,11.0,159079.0,1126.0,68580916.0,2066869.0,33181072.0,Asia,6.0,888.0,0.0,,,235
36,29.0,Canada,4946090,,59034.0,,4881312.0,350.0,5744.0,99.0,128843.0,1538.0,66572774.0,1734189.0,38388419.0,North America,8.0,650.0,1.0,,,150
37,30.0,Belgium,4861695,,34376.0,,4826798.0,50.0,521.0,,416659.0,2946.0,37454182.0,3209915.0,11668278.0,Europe,2.0,339.0,0.0,,,45
38,31.0,Israel,4841772,,12707.0,,4798473.0,,30592.0,,519169.0,1363.0,41373364.0,4436346.0,9326000.0,Asia,2.0,734.0,0.0,,,3280
39,32.0,DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,5.0,351225.0,,,,
40,33.0,Thailand,4770149,,34586.0,,4692636.0,,42927.0,,68069.0,494.0,17273454.0,246488.0,70078203.0,Asia,15.0,2026.0,4.0,,,613
41,34.0,Czechia,4759041,,43517.0,,4715206.0,,318.0,2.0,443246.0,4053.0,57834241.0,5386552.0,10736784.0,Europe,2.0,247.0,0.0,,,30
42,35.0,Peru,4572667,,222161.0,,4350506.0,,0.0,4.0,135751.0,6595.0,39010194.0,1158115.0,33684208.0,South America,7.0,152.0,1.0,,,
43,36.0,Switzerland,4453053,,14452.0,,4438309.0,,292.0,,507549.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,2.0,607.0,0.0,,,33
44,37.0,Philippines,4140383,,66864.0,,4067381.0,,6138.0,,36800.0,594.0,36102746.0,320888.0,112508994.0,Asia,27.0,1683.0,3.0,,,55
45,38.0,South Africa,4076463,,102595.0,,3912506.0,,61362.0,192.0,67095.0,1689.0,26795090.0,441027.0,60756135.0,Africa,15.0,592.0,2.0,,,1010
46,39.0,Romania,3529735,,68929.0,,3460149.0,390.0,657.0,21.0,185470.0,3622.0,28758667.0,1511122.0,19031335.0,Europe,5.0,276.0,1.0,,,35
47,40.0,Denmark,3183756,,8814.0,,3174942.0,,0.0,,545636.0,1511.0,129333107.0,22165247.0,5834950.0,Europe,2.0,662.0,0.0,,,
48,41.0,Singapore,3006155,,2024.0,,3004131.0,,0.0,4.0,505785.0,341.0,24756666.0,4165302.0,5943546.0,Asia,2.0,2937.0,0.0,,,
49,42.0,Hong Kong,2937609,,14924.0,,2916005.0,,6680.0,,386309.0,1963.0,76127725.0,10011143.0,7604299.0,Asia,3.0,510.0,0.0,,,878
50,43.0,Sweden,2754129,,27407.0,,2726492.0,20.0,230.0,,269511.0,2682.0,19500873.0,1908301.0,10218971.0,Europe,4.0,373.0,1.0,,,23
51,44.0,New Zealand,2621111,,5697.0,,2613791.0,,1623.0,,535117.0,1163.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,2.0,860.0,1.0,,,331
52,45.0,Serbia,2615054,,18057.0,,2596608.0,,389.0,,302213.0,2087.0,13463733.0,1555958.0,8653016.0,Europe,3.0,479.0,1.0,,,45
53,46.0,Iraq,2465545,,25375.0,,2439497.0,,673.0,,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,17.0,1662.0,2.0,,,16
54,47.0,Hungary,2230232,,49048.0,,2152155.0,,29029.0,,232164.0,5106.0,11394556.0,1186160.0,9606259.0,Europe,4.0,196.0,1.0,,,3022
55,48.0,Bangladesh,2049377,,29493.0,,,,,,12207.0,176.0,15254399.0,90862.0,167885689.0,Asia,82.0,5692.0,11.0,,,-168.58
56,49.0,Slovakia,1877605,,21224.0,,1856381.0,,0.0,23.0,343872.0,3887.0,7448789.0,1364199.0,5460193.0,Europe,3.0,257.0,1.0,,,
57,50.0,Georgia,1861665,,17132.0,,,,,,469082.0,4317.0,16920079.0,4263340.0,3968738.0,Asia,2.0,232.0,0.0,,,17130
58,51.0,Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,6.0,729.0,1.0,,,181
59,52.0,Ireland,1734582,,9491.0,,1724921.0,,170.0,19.0,345521.0,1891.0,13083449.0,2606161.0,5020199.0,Europe,3.0,529.0,0.0,,,34
60,53.0,Pakistan,1581936,,30664.0,,1538689.0,,12583.0,,6893.0,134.0,30589153.0,133292.0,229488994.0,Asia,145.0,7484.0,8.0,,,55
61,54.0,Finland,1516117,,11958.0,,1503989.0,14.0,170.0,,272930.0,2153.0,12108977.0,2179850.0,5554960.0,Europe,4.0,465.0,0.0,,,31
62,55.0,Norway,1509732,,6638.0,,1503094.0,,0.0,,273930.0,1204.0,11002430.0,1996315.0,5511370.0,Europe,4.0,830.0,1.0,,,
63,56.0,Kazakhstan,1411831,,13848.0,,1383020.0,,14963.0,24.0,73514.0,721.0,11575012.0,602707.0,19205043.0,Asia,14.0,1387.0,2.0,,,779
